Date,Impressions Envoyees,Key
15/01/2017,29,391854-57
15/01/2017,56,523402-10
15/01/2017,58,523404-15
15/01/2017,60,523402-57
15/01/2017,72,523404-2
15/01/2017,88,391890-15
15/01/2017,97,391854-10
15/01/2017,120,452900-10
15/01/2017,919,8100
15/01/2017,1 045,452900-57
15/01/2017,1 168,4571
15/01/2017,2 674,393782-10
15/01/2017,2 858,393782-9
15/01/2017,2 865,394024-2
15/01/2017,3 013,1801
15/01/2017,3 020,393782-57
15/01/2017,3 925,392430-10
15/01/2017,4 143,392430-57
15/01/2017,5 105,392466-15
15/01/2017,5 517,1802
15/01/2017,5 820,2437
15/01/2017,5 897,Handball17_interdesktop_handnews
15/01/2017,6 540,393322-10
15/01/2017,7 863,393178-57
15/01/2017,8 729,394166-2
15/01/2017,9 517,393342-15
15/01/2017,9 909,393322-57
15/01/2017,10 159,413522-10
15/01/2017,11 205,394154-57
15/01/2017,11 452,393178-10
15/01/2017,14 528,394008-57
15/01/2017,15 500,394166-88
15/01/2017,15 750,Handball17_parallax
15/01/2017,18 295,4567
15/01/2017,19 139,395228-10
15/01/2017,21 524,460206-10
15/01/2017,24 186,395228-57
15/01/2017,25 751,394008-10
15/01/2017,27 422,394024-15
15/01/2017,31 356,471996-58
15/01/2017,32 999,471996-10
15/01/2017,45 502,473098-15
15/01/2017,45 519,13359
15/01/2017,50 772,1113
15/01/2017,50 859,460206-57
15/01/2017,51 355,471998-10
15/01/2017,52 705,471998-2
15/01/2017,1 388 929,-
15/01/2017,5 095 493,-
16/01/2017,0,Handball17_interdesktop_handnews
16/01/2017,1,4565
16/01/2017,1,Backgroundmobile-WL-fb
16/01/2017,31,523404-15
16/01/2017,39,523404-2
16/01/2017,48,523402-57
16/01/2017,51,523402-10
16/01/2017,54,391854-57
16/01/2017,104,391890-15
16/01/2017,113,391854-10
16/01/2017,1 285,4571
16/01/2017,1 784,8100
16/01/2017,2 222,1801
16/01/2017,2 274,452900-10
16/01/2017,2 627,452900-57
16/01/2017,3 064,393782-10
16/01/2017,3 204,393782-9
16/01/2017,3 261,393782-57
16/01/2017,4 096,394024-2
16/01/2017,4 730,2437
16/01/2017,6 746,392430-10
16/01/2017,7 022,392430-57
16/01/2017,7 569,393178-57
16/01/2017,7 713,392466-15
16/01/2017,7 869,394166-2
16/01/2017,8 798,413522-10
16/01/2017,9 281,394154-57
16/01/2017,12 039,393178-10
16/01/2017,13 329,394166-88
16/01/2017,13 459,4567
16/01/2017,13 990,393322-10
16/01/2017,16 365,Handball17_parallax
16/01/2017,18 556,1802
16/01/2017,18 565,393342-15
16/01/2017,18 889,393322-57
16/01/2017,19 443,394008-57
16/01/2017,24 313,471996-58
16/01/2017,26 503,395228-10
16/01/2017,27 828,460206-10
16/01/2017,28 041,471996-10
16/01/2017,31 909,13359
16/01/2017,34 004,394024-15
16/01/2017,34 818,394008-10
16/01/2017,38 153,471998-10
16/01/2017,39 729,471998-2
16/01/2017,39 799,395228-57
16/01/2017,49 555,1113
16/01/2017,58 981,473098-15
16/01/2017,62 225,460206-57
16/01/2017,1 210 648,-
16/01/2017,4 385 535,-
17/01/2017,24,523404-15
17/01/2017,26,523404-2
17/01/2017,30,391854-57
17/01/2017,30,523402-10
17/01/2017,36,523402-57
17/01/2017,83,391890-15
17/01/2017,87,391854-10
17/01/2017,737,8100
17/01/2017,1 252,4571
17/01/2017,2 201,452900-10
17/01/2017,2 508,452900-57
17/01/2017,2 922,393782-10
17/01/2017,3 070,393782-9
17/01/2017,3 133,393782-57
17/01/2017,3 453,392430-10
17/01/2017,3 610,392430-57
17/01/2017,4 038,392466-15
17/01/2017,4 046,394024-2
17/01/2017,4 746,Handball17_interdesktop_handnews
17/01/2017,5 964,393178-57
17/01/2017,6 122,2437
17/01/2017,9 197,393322-10
17/01/2017,9 988,Handball17_parallax
17/01/2017,10 058,394166-2
17/01/2017,10 459,393178-10
17/01/2017,11 369,413522-10
17/01/2017,12 043,394154-57
17/01/2017,12 603,4567
17/01/2017,12 862,1802
17/01/2017,13 059,393342-15
17/01/2017,13 273,393322-57
17/01/2017,15 882,395228-57
17/01/2017,17 166,394166-88
17/01/2017,18 110,394008-57
17/01/2017,18 431,395228-10
17/01/2017,19 603,471996-58
17/01/2017,20 621,1801
17/01/2017,23 130,471996-10
17/01/2017,27 135,13359
17/01/2017,30 128,394024-15
17/01/2017,31 456,471998-10
17/01/2017,32 290,394008-10
17/01/2017,33 008,471998-2
17/01/2017,39 355,1113
17/01/2017,39 732,460206-10
17/01/2017,72 199,460206-57
17/01/2017,78 649,473098-15
17/01/2017,967 601,-
17/01/2017,3 659 195,-
18/01/2017,1,Backgroundmobile-WL-fb
18/01/2017,20,523404-15
18/01/2017,24,523402-57
18/01/2017,26,523404-2
18/01/2017,29,523402-10
18/01/2017,241,391854-57
18/01/2017,290,391890-15
18/01/2017,297,391854-10
18/01/2017,1 316,4571
18/01/2017,1 723,8100
18/01/2017,1 994,452900-10
18/01/2017,2 327,452900-57
18/01/2017,3 003,393782-10
18/01/2017,3 162,393782-9
18/01/2017,3 228,393782-57
18/01/2017,3 936,394024-2
18/01/2017,5 506,393178-57
18/01/2017,5 617,392430-10
18/01/2017,5 817,392430-57
18/01/2017,5 862,2437
18/01/2017,6 329,392466-15
18/01/2017,10 009,393178-10
18/01/2017,10 115,394166-2
18/01/2017,10 820,4567
18/01/2017,10 877,393322-10
18/01/2017,11 293,413522-10
18/01/2017,11 904,394154-57
18/01/2017,14 105,1802
18/01/2017,15 004,393342-15
18/01/2017,15 277,393322-57
18/01/2017,17 095,394166-88
18/01/2017,19 150,394008-57
18/01/2017,20 143,471996-58
18/01/2017,20 896,Handball17_parallax
18/01/2017,21 724,395228-10
18/01/2017,23 717,395228-57
18/01/2017,23 806,471996-10
18/01/2017,27 259,1801
18/01/2017,32 145,471998-10
18/01/2017,34 143,394008-10
18/01/2017,34 265,471998-2
18/01/2017,35 198,13359
18/01/2017,36 262,394024-15
18/01/2017,41 238,1113
18/01/2017,41 662,460206-10
18/01/2017,78 352,460206-57
18/01/2017,83 878,473098-15
18/01/2017,1 086 198,-
18/01/2017,4 017 655,-
19/01/2017,37,523402-57
19/01/2017,37,523404-2
19/01/2017,38,523402-10
19/01/2017,38,523404-15
19/01/2017,42,391854-57
19/01/2017,74,391890-15
19/01/2017,77,391854-10
19/01/2017,209,Handball17_parallax
19/01/2017,1 393,4571
19/01/2017,1 574,452900-10
19/01/2017,1 692,8100
19/01/2017,1 843,452900-57
19/01/2017,2 084,4565
19/01/2017,3 257,393782-10
19/01/2017,3 375,393782-9
19/01/2017,3 427,393782-57
19/01/2017,3 483,2437
19/01/2017,4 175,394024-2
19/01/2017,4 503,Handball17_interdesktop_handnews
19/01/2017,4 881,392430-10
19/01/2017,5 000,392430-57
19/01/2017,5 287,392466-15
19/01/2017,5 645,393178-57
19/01/2017,6 548,394166-2
19/01/2017,7 281,413522-10
19/01/2017,7 602,394154-57
19/01/2017,9 362,4567
19/01/2017,9 951,393178-10
19/01/2017,10 908,394166-88
19/01/2017,11 222,1802
19/01/2017,12 049,393322-10
19/01/2017,16 087,393342-15
19/01/2017,16 338,393322-57
19/01/2017,21 165,394008-57
19/01/2017,23 097,395228-10
19/01/2017,26 274,395228-57
19/01/2017,28 900,471996-58
19/01/2017,29 293,1801
