Date,Impressions Envoyees,Key
26/07/2017,43,6010680608
26/07/2017,46,7303467006
26/07/2017,50,392880-10
26/07/2017,55,390448
26/07/2017,58,390264
26/07/2017,60,2917613400
26/07/2017,63,1436037001
26/07/2017,69,503487
26/07/2017,69,7563295800
26/07/2017,79,571460-15
26/07/2017,80,8959303807
26/07/2017,84,523406-15
26/07/2017,92,383686
26/07/2017,100,523402-10
26/07/2017,101,446675
26/07/2017,101,569746-15
26/07/2017,107,390262
26/07/2017,120,523452-15
26/07/2017,138,2997471007
26/07/2017,139,1161899405
26/07/2017,147,390994
26/07/2017,156,395240-10
26/07/2017,168,8587213803
26/07/2017,171,390131
26/07/2017,175,4394346604
26/07/2017,182,9040029009
26/07/2017,186,390132
26/07/2017,189,2697287402
26/07/2017,192,523406-43
26/07/2017,196,395240-57
26/07/2017,232,569746-10
26/07/2017,240,523452-43
26/07/2017,246,569748-15
26/07/2017,316,4529104205
26/07/2017,324,394466-43
26/07/2017,334,7208212205
26/07/2017,340,8100
26/07/2017,354,390998
26/07/2017,358,529906-10
26/07/2017,364,523438-2
26/07/2017,369,523402-57
26/07/2017,378,523436-10
26/07/2017,379,390754
26/07/2017,381,529906-2
26/07/2017,389,5494146609
26/07/2017,392,523436-57
26/07/2017,393,395364-43
26/07/2017,421,7614851409
26/07/2017,437,523404-2
26/07/2017,446,477712-15
26/07/2017,448,2540680206
26/07/2017,471,390256
26/07/2017,476,477702-10
26/07/2017,478,390221
26/07/2017,480,4254745802
26/07/2017,486,481804
26/07/2017,495,497122-2
26/07/2017,512,390991
26/07/2017,531,477700-10
26/07/2017,601,390263
26/07/2017,602,1440880204
26/07/2017,607,13359
26/07/2017,691,9091584608
26/07/2017,730,540566-43
26/07/2017,741,3800983803
26/07/2017,744,9779145002
26/07/2017,764,2778012606
26/07/2017,805,7347813009
26/07/2017,823,446676
26/07/2017,867,6970879800
26/07/2017,887,591326-15
26/07/2017,889,4017413400
26/07/2017,911,591326-2
26/07/2017,919,5731479001
26/07/2017,1002,456346-57
26/07/2017,1013,394466-67
26/07/2017,1016,1292239802
26/07/2017,1036,393466-15
26/07/2017,1042,390752
26/07/2017,1054,390464
26/07/2017,1054,474239
26/07/2017,1067,2545523409
26/07/2017,1068,389607
26/07/2017,1075,529910-43
26/07/2017,1110,393766-2
26/07/2017,1112,4565
26/07/2017,1172,390182
26/07/2017,1202,392430-10
26/07/2017,1218,389610
26/07/2017,1243,390133
26/07/2017,1244,569748-2
26/07/2017,1349,393466-2
26/07/2017,1365,392430-57
26/07/2017,1373,390251
26/07/2017,1455,4571
26/07/2017,1466,390206
26/07/2017,1536,1080953403
26/07/2017,1656,472004-67
26/07/2017,1668,571460-43
26/07/2017,1702,477700-57
26/07/2017,1703,388228
26/07/2017,1713,389606
26/07/2017,1725,392466-15
26/07/2017,1812,390231
26/07/2017,2128,571454-43
26/07/2017,2128,616554-43
26/07/2017,2165,2768973002
26/07/2017,2199,4245706201
26/07/2017,2344,569746-55
26/07/2017,2411,390440
26/07/2017,2431,529908-10
26/07/2017,2474,393782-10
26/07/2017,2498,472004-15
26/07/2017,2645,393782-9
26/07/2017,2668,477702-2
26/07/2017,2713,393782-57
26/07/2017,3031,390412
26/07/2017,3249,477712-43
26/07/2017,3291,616768-15
26/07/2017,3389,1802
26/07/2017,3400,529908-2
26/07/2017,3495,452900-10
26/07/2017,3599,393210-2
26/07/2017,3883,3779213406
26/07/2017,3914,394024-2
26/07/2017,3982,471996-58
26/07/2017,4109,4273582201
26/07/2017,4128,460246-15
26/07/2017,4138,452900-57
26/07/2017,4185,390202
26/07/2017,4253,393178-57
26/07/2017,4290,686600-15
26/07/2017,5037,460246-43
26/07/2017,5105,497124-15
26/07/2017,5345,456350-15
26/07/2017,5586,9686146204
26/07/2017,5750,394398-43
26/07/2017,6026,456350-43
26/07/2017,6316,393210-15
26/07/2017,6735,471998-2
26/07/2017,6808,471998-10
26/07/2017,6825,393188-10
26/07/2017,7178,686602-15
26/07/2017,7399,7127487008
26/07/2017,7490,394190-67
26/07/2017,8100,598040-117
26/07/2017,8259,393178-10
26/07/2017,8423,393188-2
26/07/2017,8938,8604220208
26/07/2017,8960,394166-2
26/07/2017,9039,6732679805
26/07/2017,9093,394166-10
26/07/2017,9191,413522-10
26/07/2017,9595,394154-10
26/07/2017,9969,394154-57
26/07/2017,9972,394190-15
26/07/2017,10409,394190-43
